task,team_id,Person-ID (mellon-ID),event_start_time,event_end_time,event_result,Primary code ,Primary Sub-code,Secondary Code,Secondary  Sub-code,Apartment Feature 1,Apartment Feature 2,Apartment Feature 3,Apartment Feature 4 ,Candidate Feature 1,Candidate Feature 2,Candidate Feature 3,Candidate Feature 4,Party Venue Feature 1,Party Venue Feature 2,Party Venue Feature 3,Party Venue Feature 4,Professor Feature 1,Professor Feature 2,Professor Feature 3,Professor Feature 4
apartment,179706_162850_162936_182908,182908,2019-09-28 17:21:28+00:00,2019-09-28 17:21:28+00:00,i said b ,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:21:30+00:00,2019-09-28 17:21:30+00:00,A B C,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:21:32+00:00,2019-09-28 17:21:32+00:00,I said ABC,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:21:34+00:00,2019-09-28 17:21:34+00:00,I said B too,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:22:08+00:00,2019-09-28 17:22:08+00:00,I thought A was the best because all utilities are included and has 2 full bathrooms ,CRF,CRF-F,SSI,SSI-NP,The apartment includes 2 full bathrooms,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:22:20+00:00,2019-09-28 17:22:20+00:00,I didnt choose B as the best because rent gets raised,CRF,CRF-F,SSI, SSI-NN,The landlord usually raises the rent by 20% after the first year's lease ,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:22:35+00:00,2019-09-28 17:22:35+00:00,to me personally that is very important ,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:22:59+00:00,2019-09-28 17:22:59+00:00,wait are we seeing the same things?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:23:08+00:00,2019-09-28 17:23:08+00:00,i feel like i have different information ,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:23:18+00:00,2019-09-28 17:23:18+00:00,On my B it didn't say anything about rent being raised,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:23:23+00:00,2019-09-28 17:23:23+00:00,What do you mean?,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:23:23+00:00,2019-09-28 17:23:23+00:00,yeah same ,SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:23:28+00:00,2019-09-28 17:23:28+00:00,What do you mean?,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:23:42+00:00,2019-09-28 17:23:42+00:00,same^,SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:23:52+00:00,2019-09-28 17:23:52+00:00,ours just talked about the surroundings of the apartment and what was provided or not ,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:23:58+00:00,2019-09-28 17:23:58+00:00,"On apartment B, the second to last bulletpoint says ""The landlord usually raises the rent by 20 percent after the first year's lease""",SSI, SSI-NN,,,The landlord usually raises the rent by 20% after the first year's lease ,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:23:58+00:00,2019-09-28 17:23:58+00:00,or well mine ,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:24:25+00:00,2019-09-28 17:24:25+00:00,"Oh check the instructions, it says some of the info is only available to us",SSI,SSI-T,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:24:34+00:00,2019-09-28 17:24:34+00:00,"for mine the second to last says ""noise from the other tenants can be easily heard in the apartment""",SSI, SSI-NN,,,Noise from the other tenants can be easily heard in the apartment,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:24:35+00:00,2019-09-28 17:24:35+00:00,I dont see that on mine,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:24:35+00:00,2019-09-28 17:24:35+00:00,Thats why its different,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:25:13+00:00,2019-09-28 17:25:13+00:00,"mine says ""cell phone service and internet connectivity is weak in some apartments""",SSI, SSI-NN,,,Cell phone service and internet connectivity is weak in some apartments,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:25:14+00:00,2019-09-28 17:25:14+00:00,ohhh okay i see ,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:25:34+00:00,2019-09-28 17:25:34+00:00,"It has A/C, there is a refundable deposit, it comes w washer and dryer, it's in walking distances from school and work for all roommates, the landlord offers 24hrs maintenance, and other cool stuff",SSI,SSI-NP,,,The $250 pet deposit is refundable (minus any damages) at the end of the lease,A washer and dryer is included in the apartment1,Within walking distance of school and work for all roommates,The landlord offers 24-hour maintenance service,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:25:38+00:00,2019-09-28 17:25:38+00:00,let's list all the bad things about each apartment since we all have different info ,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:25:41+00:00,2019-09-28 17:25:41+00:00,That's what says on mine,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:25:43+00:00,2019-09-28 17:25:43+00:00,Lets list the bad stuff for each apartments since we have different info,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:25:46+00:00,2019-09-28 17:25:46+00:00,yeah,SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:25:48+00:00,2019-09-28 17:25:48+00:00,yeah,SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:26:09+00:00,2019-09-28 17:26:09+00:00,Apartment A,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:26:56+00:00,2019-09-28 17:26:56+00:00,okay so for A: the $200 pet fee is nonredundable and the only available parking for tenants is on the street ,SSI, SSI-NN,,,The $200 pet fee paid at the start of the lease is non-refundable,The only available parking for tenants' cars is on street,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:26:59+00:00,2019-09-28 17:26:59+00:00,"$200 pet fee that's not refundable, tenants can't paint their walls. only available parking is on the street",SSI, SSI-NN,SSI,SSI-RN,The $200 pet fee paid at the start of the lease is non-refundable,The only available parking for tenants' cars is on street,Tenants are not permitted to paint their walls,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:27:03+00:00,2019-09-28 17:27:03+00:00,"Cant paint on walls, the only parking is on the street, norefundable $200 pet fee",SSI,SSI-RN,,,The only available parking for tenants' cars is on street,Tenants are not permitted to paint their walls,The $200 pet fee paid at the start of the lease is non-refundable,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:27:21+00:00,2019-09-28 17:27:21+00:00,"The $200 pet fee paid is non-refundable
Tenants are not permitted to paint their walls
The only available parking for tenants' cars is on street",SSI,SSI-RN,,,The only available parking for tenants' cars is on street,Tenants are not permitted to paint their walls,The $200 pet fee paid at the start of the lease is non-refundable,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:27:33+00:00,2019-09-28 17:27:33+00:00,"Huh, so the same",SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:27:34+00:00,2019-09-28 17:27:34+00:00,"B: Cell phone service and internet connectivity is weak in some apartments.
There is only one full bathroon in the apartment.",SSI, SSI-NN,SSI,SSI-RN,There is only one full bathroon in the apartment,Cell phone service and internet connectivity is weak in some apartments,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:27:36+00:00,2019-09-28 17:27:36+00:00,okay so we have the same info on that,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:27:39+00:00,2019-09-28 17:27:39+00:00,Apartment B,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:27:56+00:00,2019-09-28 17:27:56+00:00,"Noise from the other tenants can be easily heard in the apartment.
The apartment is on the fourth floor and there is no elevator.",SSI, SSI-NN,SSI,SSI-RN,Noise from the other tenants can be easily heard in the apartment,The apartment is on the fourth floor and there is no elevator,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:28:11+00:00,2019-09-28 17:28:11+00:00,"Landlord raises rent by 20% after the first year, closet space limited",SSI, SSI-NN,SSI,SSI-RN,The landlord usually raises the rent by 20% after the first year's lease ,Closet space is limited,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:28:14+00:00,2019-09-28 17:28:14+00:00,"C:The complex is located on land that was once used as a farm.Tenants pay an additional fee of $50 per month for ""community facilities""
There are no assigned parking spaces and the lot is always crowded
Maintenance requests are not always handled promptly",SSI, SSI-NN,,,The complex is located on land that was once used as a farm,"Tenants pay an additional fee of $50 per month for ""community facilities""",There are no assigned parking spaces and the lot is always crowded,Maintenance requests are not always handled promptly,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:28:32+00:00,2019-09-28 17:28:32+00:00,"Utilities are not included
There is very little natural light",SSI, SSI-NN,,,There is very little natural light in the apartment,Utilities are not included1,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:28:48+00:00,2019-09-28 17:28:48+00:00,"C: Tenants pay an additional fee of $50 per month for ""community facilities""
There are no assigned parking spaces and the lot is always crowded
Maintenance requests are not always handled promptly",SSI, SSI-RN,,,The complex is located on land that was once used as a farm,"Tenants pay an additional fee of $50 per month for ""community facilities""",There are no assigned parking spaces and the lot is always crowded,Maintenance requests are not always handled promptly,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:29:14+00:00,2019-09-28 17:29:14+00:00,so do we all agree that the top 2 are A &B then? or does anyone disagree ,CM,CM-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:29:26+00:00,2019-09-28 17:29:26+00:00,yeah i agree,SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:29:42+00:00,2019-09-28 17:29:42+00:00,"C: $50 community facilities fee, no assigned parking so lot is crowded, maintenance requests not handled properly",SSI,SSI-RN,,,"Tenants pay an additional fee of $50 per month for ""community facilities""",There are no assigned parking spaces and the lot is always crowded,Maintenance requests are not always handled promptly,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:29:54+00:00,2019-09-28 17:29:54+00:00,"C:
Maintenance requests are not always handled
There are no assigned parking spaces and always croweded
Tenants pay an additional fee $50 per month",SSI,SSI-RN,,,"Tenants pay an additional fee of $50 per month for ""community facilities""",There are no assigned parking spaces and the lot is always crowded,Maintenance requests are not always handled promptly,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:30:05+00:00,2019-09-28 17:30:05+00:00,I would rank them A B C,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:30:18+00:00,2019-09-28 17:30:18+00:00,same^,SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:30:23+00:00,2019-09-28 17:30:23+00:00,So looks like Jerry and I have similar C's,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:30:29+00:00,2019-09-28 17:30:29+00:00,Yeah,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:30:35+00:00,2019-09-28 17:30:35+00:00,"wait karen, are utilities not included for b or c?",SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:31:10+00:00,2019-09-28 17:31:10+00:00,so a b c?,CM,CM-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:31:23+00:00,2019-09-28 17:31:23+00:00,B also did not include utilities ,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:31:28+00:00,2019-09-28 17:31:28+00:00,What do you think Nhi? ,CM,CM-G,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:31:36+00:00,2019-09-28 17:31:36+00:00,yeah we can put ABC,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:31:49+00:00,2019-09-28 17:31:49+00:00,what about you karen?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:32:27+00:00,2019-09-28 17:32:27+00:00,"My A is a second medium, but since we're doing it based off what we talked about, then yeah totes",SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:32:38+00:00,2019-09-28 17:32:38+00:00,ok submit?,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:32:40+00:00,2019-09-28 17:32:40+00:00,\('v')/,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:32:45+00:00,2019-09-28 17:32:45+00:00,A B C yep,SN,SN-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:32:45+00:00,2019-09-28 17:32:45+00:00,:D,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:32:49+00:00,2019-09-28 17:32:49+00:00,((:,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:32:52+00:00,2019-09-28 17:32:52+00:00,okay,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:32:52+00:00,2019-09-28 17:32:52+00:00,siiiick :),SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:32:59+00:00,2019-09-28 17:32:59+00:00,B),SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:33:00+00:00,2019-09-28 17:33:00+00:00,yay team work ,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:16:00+00:00,2019-09-28 17:16:00+00:00,guys click next,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:18:34+00:00,2019-09-28 17:18:34+00:00,are we supposed to talk about it now,SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:18:36+00:00,2019-09-28 17:18:36+00:00,Yeah,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:18:41+00:00,2019-09-28 17:18:41+00:00,i put abc,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:18:43+00:00,2019-09-28 17:18:43+00:00,I did BCA,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,192484,2019-09-28 17:18:47+00:00,2019-09-28 17:18:47+00:00,i did acb ,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:18:47+00:00,2019-09-28 17:18:47+00:00,I did ABC,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:19:04+00:00,2019-09-28 17:19:04+00:00,natalie why b first?,SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:19:28+00:00,2019-09-28 17:19:28+00:00,"24 hour landlord, wash and dryer included",SSI,SSI-NP,,,The landlord offers 24-hour maintenance service,A washer and dryer is included in the apartment1,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:19:34+00:00,2019-09-28 17:19:34+00:00,refundable deposit,SSI,SSI-NP,,,The $250 pet deposit is refundable (minus any damages) at the end of the lease,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:19:43+00:00,2019-09-28 17:19:43+00:00,ahh,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:20:17+00:00,2019-09-28 17:20:17+00:00,i liked the security door and how it was remodeled,SSI,SSI-NP,,,The building has a security door,The kitchen was recently remodeled,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:20:34+00:00,2019-09-28 17:20:34+00:00,"for A the deposit is nonrefundable and it says laundry facilities, so theres a laundromat instead of ur own private wash/dryer",SSI, SSI-NN,,,The $200 pet fee paid at the start of the lease is non-refundable,"The onsite laundry facilities are clean, well-maintained, and available 24/7",,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:20:35+00:00,2019-09-28 17:20:35+00:00,but i see how b is good,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:20:52+00:00,2019-09-28 17:20:52+00:00,"The location of B is nice, but what puts it below A for e is the weak internet.",CRF,CRF-F,SSI, SSI-NN,Cell phone service and internet connectivity is weak in some apartments,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:21:23+00:00,2019-09-28 17:21:23+00:00,a also has an outdoor deck,SSI,SSI-NP,,,The apartment has a deck for outdoor space,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:21:33+00:00,2019-09-28 17:21:33+00:00,but b has ac,SN,SN-D,SSI,SSI-NP,The apartment has central airconditioning,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:21:55+00:00,2019-09-28 17:21:55+00:00,You can substitute AC with tower fans and it works well. ,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,192484,2019-09-28 17:21:55+00:00,2019-09-28 17:21:55+00:00,i didn't like how the rent raises 20% in B ,SSI, SSI-NN,,,The landlord usually raises the rent by 20% after the first year's lease ,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:22:09+00:00,2019-09-28 17:22:09+00:00,yeah,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:22:25+00:00,2019-09-28 17:22:25+00:00,b has no elevator,SSI, SSI-NN,,,The apartment is on the fourth floor and there is no elevator,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:22:27+00:00,2019-09-28 17:22:27+00:00,wait do we have different bullet points,SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:22:36+00:00,2019-09-28 17:22:36+00:00,I don't see any information about how much rent is on any of the apartments,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:22:47+00:00,2019-09-28 17:22:47+00:00,yeah and i dont have anything about internet,SSI,SSI-O,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:22:57+00:00,2019-09-28 17:22:57+00:00,i think they meant the pet fee?,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:23:00+00:00,2019-09-28 17:23:00+00:00,they gave us different bullet points lmao,CRF,CRF-R,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:23:02+00:00,2019-09-28 17:23:02+00:00,ohhhhhh,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,192484,2019-09-28 17:23:05+00:00,2019-09-28 17:23:05+00:00,ohh,SESU,SESU-A,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:23:11+00:00,2019-09-28 17:23:11+00:00,this makes it so much harder lmao,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:23:12+00:00,2019-09-28 17:23:12+00:00,ok wait,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:23:25+00:00,2019-09-28 17:23:25+00:00,lets start with A and just list the pros and cons of it first,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,192484,2019-09-28 17:23:28+00:00,2019-09-28 17:23:28+00:00,ok what are your guys' cons for apartment A ,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:23:38+00:00,2019-09-28 17:23:38+00:00,you can't paint the walls,SSI, SSI-NN,,,Tenants are not permitted to paint their walls,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:23:42+00:00,2019-09-28 17:23:42+00:00,parking only on the street,SSI, SSI-NN,,,The only available parking for tenants' cars is on street,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:23:46+00:00,2019-09-28 17:23:46+00:00,only parking is on the street,SSI,SSI-RN,,,The only available parking for tenants' cars is on street,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:23:48+00:00,2019-09-28 17:23:48+00:00,$200 pet fee is non-refundable,SSI,SSI-RN,,,The $200 pet fee paid at the start of the lease is non-refundable,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:23:51+00:00,2019-09-28 17:23:51+00:00,^,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,192484,2019-09-28 17:24:07+00:00,2019-09-28 17:24:07+00:00,ok what about B ,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:24:20+00:00,2019-09-28 17:24:20+00:00,Is that it?,CM,CM-G,,,,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:24:22+00:00,2019-09-28 17:24:22+00:00,utilities not included,SSI, SSI-NN,,,Utilities are not included1,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,192484,2019-09-28 17:24:28+00:00,2019-09-28 17:24:28+00:00,rent raises by 20% after first year's lease ,SSI,SSI-RN,,,The landlord usually raises the rent by 20% after the first year's lease ,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,181200,2019-09-28 17:24:29+00:00,2019-09-28 17:24:29+00:00,very little natural light,SSI, SSI-NN,,,There is very little natural light in the apartment,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:24:31+00:00,2019-09-28 17:24:31+00:00,noisy,SSI, SSI-NN,,,Noise from the other tenants can be easily heard in the apartment,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,176874,2019-09-28 17:24:34+00:00,2019-09-28 17:24:34+00:00,no elevator,SSI,SSI-RN,,,The apartment is on the fourth floor and there is no elevator,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,192484,2019-09-28 17:24:35+00:00,2019-09-28 17:24:35+00:00,limited closet space ,SSI, SSI-NN,,,Closet space is limited,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:24:42+00:00,2019-09-28 17:24:42+00:00,Cell and internet service is weak,SSI,SSI-RN,,,Cell phone service and internet connectivity is weak in some apartments,,,,,,,,,,,,,,,
apartment,181200_176874_192484_166771,166771,2019-09-28 17:24:46+00:00,2019-09-28 17:24:46+00:00,Only 1 full bathroom,SSI,SSI-RN,,,There is only one full bathroon in the apartment,,,,,,,,,,,,,,,
